figure,panel,plotted,model_label,model,task,checkpoint,config_path,seed,train_count,val_count,test_count,n_definition,metric_definition,denominator,center,spread,statistical_test,is_smoke,excluded_reason,source_file,script,command,generated_at,hardware,os,python_version,torch_version,pitch_accuracy,cross_entropy,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,voice_crossing_rate,spacing_violation_rate,seventh_resolution_violation_rate,cadence_unknown_rate,musicxml_export_success_rate,evaluated_generations
project1_metrics_summary,a-d,yes,No harmony,ablation_no_harmony_conditioning,soprano_to_satb,runs\chorale_ablation_no_harmony\best.pt,configs/chorale_main.yaml,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.7738095238095238,0.8274685859680175,27.68845545598313,3.6109646810753824,2.8070637849235633,0.00017571604287471446,0.0,0.02859778597785978,0.9459459459459459,1.0,37
project1_metrics_summary,a-d,yes,No refinement,ablation_no_iterative_refinement,soprano_to_satb,runs\chorale_ablation_no_iterative_refinement\best.pt,configs/chorale_main.yaml,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.8241082410824109,0.5862961530685424,33.592514496573536,1.9240906694781235,4.348972061149183,0.0006150061500615006,0.0003514320857494289,0.023985239852398525,0.918918918918919,1.0,37
project1_metrics_summary,a-d,yes,No rules,ablation_no_rule_guided_decoding,soprano_to_satb,runs\chorale_ablation_no_rule_guided_decoding\best.pt,configs/chorale_transformer_no_constraints.yaml,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.8242839571252856,0.5864947319030762,34.34370057986294,1.8845545598313127,3.650500790722193,0.0033386048146195747,0.0007907221929362151,0.021481286241433844,0.918918918918919,1.0,37
project1_metrics_summary,a-d,yes,proposed_neural_symbolic_masked_infilling,proposed_neural_symbolic_masked_infilling,masked_infill,runs\chorale_masked_infilling\best.pt,,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.8290490341753344,0.5865578174591064,31.404849762783343,1.080653663679494,1.739588824459673,0.001932876471621859,0.00021964505359339307,0.03610964681075382,0.918918918918919,1.0,37
project1_metrics_summary,a-d,yes,Proposed,proposed_neural_symbolic_rule_guided,soprano_to_satb,runs\chorale_rule_guided_decoding\best.pt,configs/chorale_rule_guided_decoding.yaml,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.8241521700931295,0.5863701224327087,33.42119135477069,1.963626779124934,3.6768581971534,0.0014057283429977157,0.0002635740643120717,0.02161307327358988,0.918918918918919,1.0,37
project1_metrics_summary,a-d,yes,proposed_neural_symbolic_soprano_to_satb,proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,runs\chorale_soprano_to_satb\best.pt,,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.8238446670180988,0.5863180041313172,33.4739061676331,1.9899841855561413,3.6768581971534,0.0014057283429977157,0.0002635740643120717,0.02161307327358988,0.918918918918919,1.0,37
project1_metrics_summary,a-d,yes,LSTM,lstm_baseline,soprano_to_satb,runs\chorale_lstm_full_20260615_085410\best.pt,configs/chorale_lstm.yaml,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.7764891934633632,0.7853073835372925,22.153400105429625,3.5977859778597785,2.754348972061149,0.00017571604287471446,0.0,0.028465998945703744,0.972972972972973,1.0,37
project1_metrics_summary,a-d,yes,Vanilla,transformer_no_constraints,soprano_to_satb,runs\chorale_transformer_no_constraints\best.pt,configs/chorale_transformer_no_constraints.yaml,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.7682305394482516,0.8707783579826355,27.438060094886662,2.8202424881391672,2.438060094886663,0.0050957652433667195,0.0013178703215603585,0.03479177648919346,0.972972972972973,1.0,37
project1_metrics_summary,a-d,yes,proposed_neural_symbolic_rule_guided_enhanced,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,runs\chorale_rule_guided_decoding_enhanced_20260616_205831\best.pt,,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.8237568089966614,0.5935421943664551,60.02899314707433,2.5830258302583027,8.539799683711124,0.0,0.0,0.13205060622034792,0.972972972972973,1.0,37
project1_metrics_summary,a-d,yes,proposed_neural_symbolic_masked_infilling_enhanced,proposed_neural_symbolic_masked_infilling_enhanced,masked_infill,runs\chorale_masked_infilling_enhanced_20260616_205831\best.pt,,2026,297,37,37,37 held-out music21 Bach chorales in the deterministic test split,"token-level pitch accuracy, cross entropy, and automatic rule diagnostics",held-out score positions after padding/mask handling,single evaluation run,not applicable; no repeated seeds logged,not performed,no,,results/project1_metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-06-19T23:37:06,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128,0.837072808320951,0.5784470438957214,61.0173958882446,2.477596204533474,5.284659989457038,0.0013178703215603585,0.0023721665788086453,0.12519768054823405,0.972972972972973,1.0,37
